Dataset: breast-cancer-wisconsin.data
Class information:
Class 1 = Malignant
Class 0 = Benign

----------------------------------------
Parameters of the trained Naive Bayes model
----------------------------------------
m = 1.0
p = 0.001

Prior and list of likelihoods for class 0(rounded to five decimal places):
0.66094
[ 0.29774 0.10033 0.19741 0.14887 0.19741 0.04207 0.00324 0.00971 0.0 0.0 0.81554 0.08415 0.06473 0.02266 0.0 0.00324 0.00324 0.00324 0.0 0.0 0.75405 0.12298 0.0712 0.02589 0.00648 0.00971 0.00324 0.00324 0.0 0.0 0.82201 0.08091 0.05826 0.01295 0.00648 0.00971 0.0 0.0 0.00324 0.00324 0.09062 0.78317 0.07767 0.01942 0.00971 0.00648 0.00324 0.00648 0.0 0.0 0.84466 0.05502 0.0356 0.01942 0.02913 0.0 0.00324 0.00324 0.0 0.00648 0.31068 0.33334 0.30745 0.00648 0.01295 0.00324 0.02266 0.0 0.0 0.0 0.87379 0.05826 0.03237 0.00324 0.00648 0.00971 0.00324 0.00971 0.0 0.0 0.9644 0.02266 0.00324 0.0 0.00324 0.0 0.0 0.00324 0.0 0.0 ]

Prior and list of likelihoods for class 1(rounded to five decimal places):
0.33906
[ 0.01887 0.01887 0.05032 0.05032 0.21384 0.08177 0.09435 0.1195 0.06919 0.27674 0.01258 0.03145 0.11321 0.10064 0.14466 0.10692 0.07548 0.1195 0.02516 0.26416 0.0063 0.02516 0.11321 0.13208 0.1195 0.10692 0.11321 0.10692 0.03145 0.239 0.12579 0.09435 0.1195 0.10064 0.06919 0.08806 0.04403 0.09435 0.01887 0.239 0.0063 0.08806 0.16982 0.17611 0.12579 0.17611 0.01887 0.10692 0.0063 0.1195 0.05661 0.03774 0.06919 0.05661 0.08806 0.01258 0.01887 0.0629 0.02516 0.56604 0.01258 0.03145 0.13208 0.13208 0.12579 0.03774 0.28303 0.11321 0.03145 0.09435 0.18869 0.03145 0.1195 0.06919 0.09435 0.08177 0.03774 0.05661 0.05661 0.25787 0.50944 0.1195 0.15724 0.05661 0.02516 0.01887 0.03774 0.0063 1.0E-5 0.0629 ]

----------------------
Classification Results
----------------------
Prediction accuracy: 97.85%

	Actual Class	Predicted Class
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
